notes,filename,song_name,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,comments,type,family_name,language,dialect,level,culture listed?,culture,culture standardized,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
NOT MUSIC (this is a poem),NHS2-0476.wav,Among flowers that enclose us : To a woman loved,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/in-the-trail-of-the-wind-american-indian-poems-and-ritual-orations/oclc/136520&referer=brief_results,WorldCat,,,print book,Love,Otomanguean,mezq1235,,language,,Otomi,Otomi,Central Mexico,,otom1299,mezq1235,mezq1235,yes,yes,yes,ote,No secondary function,No,,,,The song is identified as such in its title or label,Love Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink has information on where to find the song.,,,No,,########,JAY
this is a music score not audio,NHS2-0480.wav,Biba manza,NA,,,,,,http://www.worldcat.org/title/folksongs-of-mexico-canciones-de-mexico/oclc/42236366&referer=brief_results,WorldCat,,,no audio,Story,Otomanguean,mezq1235,,language,,Otomi,Otomi,Central Mexico,,otom1299,mezq1235,mezq1235,yes,yes,yes,ote,No secondary function,No,,,,The song is identified as such in its title or label,Story Song// TITLE IN WORLDCAT//,NA,NA,The hyperlink provides link to the material where the song can be found.,,,No,,########,JAY
"no recording available, looks like musical score",NHS2-0708.wav,Death Song of the Cherokee Indians,NA,,,,,,https://www.flutopedia.com/img_Ritson1794_CherokeeSong.htm,Flutopedia,,,no recording,Mourning,Iroquoian,cher1273,,language,,Cherokee,Cherokee,Eastern Woodlands,,iroq1247,cher1273,cher1273,yes,yes,yes,chr,No secondary function,No,,,,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is",Mourning //FOLLOWING THE LINK - RELEVANT LABEL IN TRACK TITLE//,NA,"Remember the arrows he shot from his bow, Remember your chiefs by his hatchet laid low, Why so slow? Do you wait 'till I shrink from the pain? No, the son of Alknomook will never complain. Remember the wood where in ambush we lay, and the scalps which we bore from your nation away, Now the flame rises saft, you exult my pain, But the son of Alknomook can never complain. I go to the land where my father is gone, His ghost shall rejoyce in the fame of his son, Death comes like a friend, he relieves me from pain, And thy son, O Alknomook, has scorn'd to complain //FLUTOPEDIA, RELEVANT INFORMATION FROM THE LINK//",,,,No,,12/19/2018 13:58:12,SFS
"broken link, can't track down song",NHS2-0957.wav,Healing Song,"Track 09, Recording 10 from ATC010",,,,,,http://greenstone.ilam.ru.ac.za/cgi-bin/library?e=q-01000-00---0ilam--00-1--0-10-0---0---0prompt-10-DC--4-------0-1l--11-en-50---20-about-healing--00-3-1-00-0011-1-0utfZz-8-00&a=d&c=ilam&srp=0&srn=0&cl=search&d=D28640,ILAM,1,0,broken link,Healing,Khoe-Kwadi,khoe1242,,family,,Sub-Saharan African,Khoisan,Northern Africa,,khoe1240,khoe1242,.,no,.,.,,No secondary function,No,,,,The song is identified as such in its title or label,Healing Song,Traditional healing song with claves accompaniment ; For further details refer to Andrew Tracey cassette tape: ATC010,NA,,,,No,,########,RJW
"subject to tribal permission, unpublished. Name: Sican Dance",NHS2-0997.wav,NA,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Dance,Haida,haid1248,,family,,Haida,Haida,Northwest Coast and California,,0,haid1248,haid1248,yes,yes,yes,hai,No secondary function,No,,,,The song is identified as such in its title or label,Sican Dance; repeating song of two phrases//GLOBAL JUKEBOX CODING ID 1501//,NA,NA,,,,No,Global Jukebox says the audio is pending.,7/20/2018 22:49:18,YJS
"subject to tribal permission, unpublished",NHS2-0998.wav,Love Song,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Love,Haida,haid1248,,family,,Haida,Haida,Northwest Coast and California,,0,haid1248,.,no,.,.,hai,No secondary function,No,,,,The song is identified as such in its title or label,Love song //GLOBAL JUKEBOX CODING ID 1503 GENRE//,NA,NA,,,,No,Global Jukebox says the audio is pending.,8/13/2018 21:55:12,YJS
"subject to tribal permission, unpublished. Name: Lullaby",NHS2-0999.wav,NA,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Lullaby,Haida,haid1248,,family,,Haida,Haida,Northwest Coast and California,,0,haid1248,haid1248,yes,yes,yes,hai,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby; female soloist unaccompanied; in relaxed voice//Global Jukebox Coding ID: 3070//,NA,NA,,,,No,Global Jukebox says the audio is pending.,8/20/2018 9:32:38,YJS
"subject to tribal permission, unpublished",NHS2-1001.wav,NA,Peon Game Song,,,,,,https://theglobaljukebox.org/#,Global Jukebox,0,0,subject to tribal permission,Play,Cochimi-Yuman,ipai1240,,language,,Kumeyaay,Kumeyaay,Northwest Coast and California,,coch1271,kumi1248,kumi1248,yes,yes,yes,dih,Play,No,,,,The song is identified as such in its title or label,Game song//GLOBAL JUKEBOX//Coding ID: 9946,NA,NA,Coding ID: 9946,,,No,Global Jukebox says the audio is pending.,9/29/2018 2:30:55,YJS
"subject to tribal permission, unpublished",NHS2-1006.wav,Homesick Song,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Mourning,Tsimshian,nucl1649,,language,,Tsimshian,Tsimshian,Northwest Coast and California,,tsim1258,nucl1649,tsim1258,no,yes,yes,tsi,No secondary function,No,,,,The song is identified as such in its title or label,Nostalgic song; Homesick song; male soloist unaccompanied//GLOBAL JUKEBOX CODING ID 1513//,NA,NA,,,,No,Global Jukebox says the audio is pending.,########,YJS
"subject to tribal permission, unpublished. Name: When going to war",NHS2-1007.wav,NA,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Story,Tsimshian,nucl1649,,language,,Tsimshian,Tsimshian,Northwest Coast and California,,tsim1258,nucl1649,tsim1258,no,yes,yes,tsi,No secondary function,No,,,,The song is identified as such in its title or label,"War song; male soloist unaccompanied, 85 years old//GLOBAL JUKEBOX CODING ID 1514//",NA,NA,,,,No,Global Jukebox says the audio is pending.,7/20/2018 6:55:47,YJS
"subject to tribal permission, unpublished",NHS2-1009.wav,Bone Game Song,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Play,Salishan,sali1255,,family,,Salish,Salish,Northwest Coast and California,,0,sali1255,sali1255,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,Game song; bone game song//GLOBAL JUKEBOX//Coding ID: 9949,NA,NA,Coding ID: 9949,,,No,Global Jukebox says the audio is pending,9/29/2018 0:42:38,YJS
"subject to tribal permission, unpublished",NHS2-1010.wav,Gambling Song,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Play,Salishan,till1254,,language,,Siletz,Siletz,Northwest Coast and California,,sali1255,.,till1254,no,.,.,#N/A,No secondary function,No,,,,The song is identified as such in its title or label,Gambling Song//GLOBAL JUKEBOX//Coding ID: 1524,NA,NA,Coding ID: 1524,,,No,Global Jukebox says the audio is pending,9/29/2018 0:34:02,YJS
"subject to tribal permission, unpublished",NHS2-1012.wav,Hand Game Song,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Play,Yokutsan,yoku1256,vall1251,language,,Southern Valley Yokuts,Yokuts,Northwest Coast and California,,yoku1255,vall1251,yoku1255,no,unknown,yes,,No secondary function,No,,,,The song is identified as such in its title or label,Hand game song; game song//GLOBAL JUKEBOX//Coding ID: 9944,NA,NA,Coding ID: 9944,,,No,Global Jukebox says the audio is pending.,9/29/2018 2:15:26,YJS
"subject to tribal permission, unpublished",NHS2-1013.wav,Curing Song,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Healing,Algic,yuro1248,,language,,Olekwol (Yurok),Yurok,Northwest Coast and California,,algi1248,yuro1248,yuro1248,yes,yes,yes,yur,No secondary function,No,,,,The song is identified as such in its title or label,Healing song//GLOBAL JUKEBOX//Coding ID: 9950,NA,NA,Coding ID: 9950,,,No,Global Jukebox says the audio is pending.,9/29/2018 0:40:14,YJS
"subject to tribal permission, unpublished",NHS2-1074.wav,War Dance 2,NA,,,,,,https://theglobaljukebox.org/?share=Ka'igwu-T1452.4,Global Jukebox,,,subject to tribal permission,Dance,Kiowa-Tanoan,kiow1266,,language,,Ka'igwu (Kiowa Language) Alternate names listed: Kiowa; kgwu; Cáuigù; Gaigwu; Kaigwu,Kiowa,Plains and Plateau,,kiow1265,kiow1266,kiow1264,no,no,no,kio,No secondary function,No,,,,The song is identified as such in its title or label,"Dance//WAR DANCE SONG, RELEVANT TEXT IN GENRE FIELD//","Pronounced rhythm; singers sit in the center of an arena and beat a large rawhide drum and mention of A group of performers///CODING ID 1879 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD AND PERFORMERS FIELD//",NA,"Search ""Kiowa"" on Global Jukebox Map to Find War Dance 2",,,No,"Recording is subject to tribal permission and does not play. Search Kiowa and find ""War Dance 2""",6/27/2018 13:45:24,SAS
Duplicate of NHS2-0761,NHS2-1292.wav,Wailing for Sick Man,NA,,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,repeat of above,Healing,Nuclear Trans New Guinea,casu1237,,language,,Coastal Asmat,Coastal Asmat,Southeast Asia,,nucl1709,asma1257,casu1237,no,yes,yes,,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Healing song; holler // GLOBAL JUKEBOX Coding ID: 9970 //,Wailing and hollering for a sick man // GLOBAL JUKEBOX DESCRIPTION FIELD //,NA,"Hyperlink unavailable; Audio File ID: T5571R27, Lomax Source: T3179.4.",Yes,3,Yes,,6/21/2018 18:20:58,JCS
Duplicate of NHS2-1350,NHS2-1349.wav,Wedding Song,NA,,,,,"Duplicate of below (Wedding song, row 1353)",https://theglobaljukebox.org/#,Global Jukebox,,,repeat of above,Procession,Austroasiatic,west2396,,language,,Lua,Lua,Southeast Asia,,aust1305,west2396,luaa1235,no,unknown,unknown,lcp,wedding,No,,,,The song is identified as such in its title or label,Wedding song // GLOBAL JUKEBOX CODING ID 3398 //,NA,NA,"Audio File ID: T5420R26. Publication/Collection: Peter Kunstadter Collection: Traditional music of the Lua (Lawa), collected at Mae Hongson Province, 1964. Tape II.",Yes,5,Yes,,6/20/2018 0:58:34,JCS
duplicate,NHS2-1351.wav,Planting Song,NA,,,,,"Duplicate of below (Planting song, row 1354)",https://theglobaljukebox.org/#,Global Jukebox,,,repeat of above,Work,Austroasiatic,west2396,,language,,Lua,Lua,Southeast Asia,,aust1305,west2396,luaa1235,no,unknown,unknown,lcp,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Planting song; agricultural song; work song // GLOBAL JUKEBOX Coding ID: 3393 //,Male soloist singing over the sound of his planting stick striking soil; planting sticks used here have slits with a striker set inside that emits a tone when struck on a suface // DESCRIPTION FIELD IN GLOBAL JUKEBOX //,NA,"Publication/Collection: Peter Kunstadter Collection: Traditional music of the Lua (Lawa), collected at Mae Hongson Province, 1964. Tape II. Audio File ID: T5420R24.",Yes,5,Yes,,6/20/2018 0:56:47,JCS
Duplicate of NHS2-1525,NHS2-1524.wav,Lamnandi Ugolohlanq,NA,,,,,,http://media.theglobaljukebox.org/audio/T5452R25.mp3,Global Jukebox,,,repeat of above,Praise,Atlantic-Congo,xhos1239,mpon1252,language,,Pondo,Pondo,Southern Africa,bant1294,atla1278,mpon1252,pond1249,no,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Praise song //GLOBAL JUKEBOX CODING ID 276, GENRE FIELD//","Praise song; That Has Fetched This Person; composed by Nomaswiti Citaumvano; recorded at Miss Carter's store //GLOBAL JUKEBOX CODING ID 276, DESCRIPTION FIELD//",NA,,Yes,6,Yes,,5/21/2018 11:54:35,AMB
Duplicate of NHS2-1624,NHS2-1608.wav,Funeral Song,No track number Lomax Source: 1B2.B7; WFS3.10,,,,,repeat song,https://theglobaljukebox.org/?share=Seri-T5405R43,Global Jukebox,,,subject to tribal permission,Mourning,Cochimi-Yuman,hava1248,wala1270,language,,Hualpai alt. Names Hwalbay not found on eHARF,Hualapai,Southwest and Basin,,coch1271,.,.,.,.,.,#N/A,No secondary function,No,,,,The song is identified as such in its title or label,"Funeral Song //CODING ID 199 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE TITLE FIELD//","Funeral; Mourning Song //CODING ID 199 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//",NA,,,,No,,12/28/2018 20:32:59,BSG
Duplicate of NHS2-1624,NHS2-1623.wav,Death Song 2,No track number Lomax Source: T1618.10,,,,,repeat of the song below,https://theglobaljukebox.org/?share=Seri-T5405R43,Global Jukebox,,,subject to tribal permission,Mourning,Cochimi-Yuman,moha1256,,language,,Aha Makhav not found on eHARF,Aha Makhav,Southwest and Basin,,coch1271,moha1256,moha1256,yes,yes,yes,mov,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Death Song //CODING ID 2015 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE TITLE FIELD//","Mourning; Death Song //CODING ID 2015 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//",NA,,,,No,"Global Jukebox says the audio is ""subject to tribal permission""",12/28/2018 20:38:11,BSG
